Timestamp,Noise (dB),Light (lux),Temperature (C)
2021-01-01 01:46:58,54.48,1.96,25.33
2021-01-01 01:47:18,56.66,1.9,25.3
2021-01-01 01:47:39,55.93,1.9,25.31
2021-01-01 01:47:59,51.9,1.96,25.33
2021-01-01 01:48:19,55.81,1.96,25.31
2021-01-01 01:48:39,55.36,1.9,25.27
2021-01-01 01:49:00,54.92,1.9,25.32
2021-01-01 01:49:20,52.46,1.96,25.31
2021-01-01 01:49:40,52.22,1.96,25.32
2021-01-01 01:50:00,50.45,1.9,25.3
2021-01-01 01:50:21,52.22,1.9,25.3
2021-01-01 01:50:41,55.85,1.96,25.27
2021-01-01 01:51:01,55.85,1.96,25.3
2021-01-01 01:51:21,53.79,1.9,25.25
2021-01-01 01:51:42,55.0,1.9,25.29
2021-01-01 01:52:02,52.59,1.9,25.25
2021-01-01 01:52:22,55.32,1.84,25.27
2021-01-01 01:52:43,53.23,1.9,25.29
2021-01-01 01:53:03,53.67,1.9,25.23
2021-01-01 01:53:23,53.95,1.96,25.25
2021-01-01 01:53:43,55.57,1.9,25.23
2021-01-01 01:54:04,59.84,1.9,25.27
2021-01-01 01:54:24,55.85,1.9,25.21
2021-01-01 01:54:45,55.28,1.9,25.27
2021-01-01 01:55:05,55.08,1.9,25.27
2021-01-01 01:55:25,54.72,1.9,25.23
2021-01-01 01:55:45,52.38,1.9,25.23
2021-01-01 01:56:06,55.65,1.9,25.23
2021-01-01 01:56:26,53.95,1.9,25.23
2021-01-01 01:56:46,53.43,1.9,25.23
2021-01-01 01:57:07,52.99,1.9,25.24
2021-01-01 01:57:27,52.5,1.9,25.23
2021-01-01 01:57:47,55.0,1.9,25.24
2021-01-01 01:58:07,52.1,1.9,25.23
2021-01-01 01:58:28,65.12,1.79,25.18
2021-01-01 01:58:48,54.44,1.79,25.19
2021-01-01 01:59:09,53.31,1.79,25.21
2021-01-01 01:59:29,55.04,1.96,25.16
2021-01-01 01:59:49,54.76,1.96,25.22
2021-01-01 02:00:10,54.6,1.9,25.2
2021-01-01 02:00:30,55.85,1.96,25.22
2021-01-01 02:00:51,56.25,1.96,25.2
2021-01-01 02:01:11,55.69,1.9,25.22
2021-01-01 02:01:31,54.44,1.9,25.23
2021-01-01 02:01:52,53.31,1.96,25.26
2021-01-01 02:02:12,52.59,1.9,25.26
2021-01-01 02:02:32,55.85,1.9,25.25
2021-01-01 02:02:52,52.91,1.9,25.27
2021-01-01 02:03:13,54.8,1.96,25.27
2021-01-01 02:03:33,51.7,1.9,25.27
2021-01-01 02:03:53,52.59,1.9,25.27
2021-01-01 02:04:14,55.53,1.96,25.27
2021-01-01 02:04:34,54.76,1.9,25.26
2021-01-01 02:04:54,55.45,1.9,25.28
2021-01-01 02:05:15,56.86,1.9,25.27
2021-01-01 02:05:35,55.04,1.9,25.3
2021-01-01 02:05:55,54.16,1.96,25.3
2021-01-01 02:06:15,52.79,1.96,25.3
2021-01-01 02:06:36,55.45,1.96,25.31
2021-01-01 02:06:56,53.39,1.96,25.33
2021-01-01 02:07:16,54.24,1.9,25.33
2021-01-01 02:07:36,55.85,1.9,25.34
2021-01-01 02:07:57,56.33,1.96,25.35
2021-01-01 02:08:17,54.6,1.96,25.35
2021-01-01 02:08:37,54.08,1.9,25.36
2021-01-01 02:08:57,52.87,1.96,25.38
2021-01-01 02:09:18,55.16,1.9,25.38
2021-01-01 02:09:38,54.08,1.96,25.39
2021-01-01 02:09:58,52.87,1.9,25.4
2021-01-01 02:10:19,55.69,1.9,25.41
2021-01-01 02:10:39,55.49,1.9,25.44
2021-01-01 02:10:59,53.15,1.9,25.43
2021-01-01 02:11:19,53.15,1.9,25.46
2021-01-01 02:11:40,55.69,1.9,25.48
2021-01-01 02:12:00,55.28,1.96,25.47
2021-01-01 02:12:20,51.7,1.96,25.48
2021-01-01 02:12:40,53.83,1.96,25.52
2021-01-01 02:13:01,53.83,1.9,25.52
2021-01-01 02:13:21,54.44,1.9,25.53
2021-01-01 02:13:41,52.99,1.96,25.55
2021-01-01 02:14:01,54.44,1.9,25.57
2021-01-01 02:14:22,54.08,1.9,25.58
2021-01-01 02:14:42,55.49,1.96,25.59
2021-01-01 02:15:02,53.43,1.9,25.61
2021-01-01 02:15:23,54.4,1.9,25.62
2021-01-01 02:15:43,53.31,1.9,25.64
2021-01-01 02:16:03,55.0,1.96,25.65
2021-01-01 02:16:23,52.87,1.96,25.66
2021-01-01 02:16:44,54.4,1.96,25.67
2021-01-01 02:17:04,53.55,1.9,25.7
2021-01-01 02:17:24,55.04,1.9,25.71
2021-01-01 02:17:44,53.15,1.9,25.72
2021-01-01 02:18:05,51.34,1.9,25.74
2021-01-01 02:18:25,51.14,1.9,25.76
2021-01-01 02:18:45,55.93,1.96,25.78
2021-01-01 02:19:06,53.95,1.9,25.77
2021-01-01 02:19:26,52.18,1.9,25.77
2021-01-01 02:19:46,51.94,1.96,25.81
2021-01-01 02:20:06,53.75,1.9,25.83
2021-01-01 02:20:27,54.32,1.96,25.84
2021-01-01 02:20:47,55.32,1.9,25.85
2021-01-01 02:21:07,53.95,1.9,25.87
2021-01-01 02:21:27,55.08,1.96,25.88
2021-01-01 02:21:48,53.07,1.9,25.88
2021-01-01 02:22:08,55.36,1.96,25.91
2021-01-01 02:22:28,53.11,1.9,25.91
2021-01-01 02:22:49,55.0,1.9,25.91
2021-01-01 02:23:09,52.22,1.96,25.91
2021-01-01 02:23:29,55.16,1.9,25.93
2021-01-01 02:23:49,53.35,1.9,25.94
2021-01-01 02:24:10,56.25,1.9,25.95
2021-01-01 02:24:30,54.4,1.9,25.95
2021-01-01 02:24:50,54.04,1.9,25.95
2021-01-01 02:25:11,52.26,1.9,25.95
2021-01-01 02:25:31,54.8,1.9,25.95
2021-01-01 02:25:51,54.52,1.9,25.97
2021-01-01 02:26:11,51.94,1.96,25.97
2021-01-01 02:26:32,53.11,1.9,25.96
2021-01-01 02:26:52,56.37,1.96,25.96
2021-01-01 02:27:12,53.03,1.9,25.97
2021-01-01 02:27:33,53.87,1.96,25.95
2021-01-01 02:27:53,55.89,1.9,25.97
2021-01-01 02:28:13,56.94,1.9,25.95
2021-01-01 02:28:33,52.59,1.9,25.95
2021-01-01 02:28:54,53.63,1.96,25.97
2021-01-01 02:29:14,54.84,1.96,25.94
2021-01-01 02:29:34,51.34,1.9,25.94
2021-01-01 02:29:55,51.09,1.9,25.95
2021-01-01 02:30:15,51.7,1.9,25.95
2021-01-01 02:30:35,54.04,1.9,25.95
2021-01-01 02:30:55,55.41,1.9,25.93
2021-01-01 02:31:16,53.15,1.9,25.93
2021-01-01 02:31:36,53.51,1.96,25.91
2021-01-01 02:31:56,54.6,1.96,25.93
2021-01-01 02:32:17,54.12,1.96,25.91
2021-01-01 02:32:37,53.79,1.96,25.9
2021-01-01 02:32:57,54.48,1.96,25.88
2021-01-01 02:33:17,53.19,1.96,25.89
2021-01-01 02:33:38,55.24,1.96,25.88
2021-01-01 02:33:58,58.03,1.96,25.88
2021-01-01 02:34:18,52.18,1.96,25.87
2021-01-01 02:34:39,54.36,1.96,25.88
2021-01-01 02:34:59,55.85,1.96,25.86
2021-01-01 02:35:19,54.48,1.96,25.85
2021-01-01 02:35:40,52.06,1.96,25.84
2021-01-01 02:36:00,52.79,1.96,25.83
2021-01-01 02:36:20,55.04,1.96,25.81
2021-01-01 02:36:40,54.04,1.96,25.81
2021-01-01 02:37:01,54.2,1.96,25.81
2021-01-01 02:37:21,52.75,1.96,25.81
2021-01-01 02:37:41,54.72,1.9,25.8
2021-01-01 02:38:02,55.85,1.96,25.79
2021-01-01 02:38:22,51.82,1.96,25.78
2021-01-01 02:38:42,55.0,1.96,25.75
2021-01-01 02:39:02,56.41,1.96,25.76
2021-01-01 02:39:23,53.75,1.96,25.75
2021-01-01 02:39:43,53.79,1.96,25.76
2021-01-01 02:40:03,54.4,1.96,25.74
2021-01-01 02:40:24,54.28,1.96,25.73
2021-01-01 02:40:44,56.13,1.96,25.7
2021-01-01 02:41:04,53.87,1.96,25.7
2021-01-01 02:41:24,53.71,1.96,25.7
2021-01-01 02:41:45,55.36,1.96,25.7
2021-01-01 02:42:05,54.8,1.96,25.69
2021-01-01 02:42:25,51.86,1.96,25.68
2021-01-01 02:42:45,52.91,1.96,25.66
2021-01-01 02:43:06,51.94,1.96,25.66
2021-01-01 02:43:26,55.28,1.96,25.66
2021-01-01 02:43:46,52.02,1.96,25.64
2021-01-01 02:44:06,53.31,1.96,25.66
2021-01-01 02:44:27,54.68,1.9,25.62
2021-01-01 02:44:47,54.96,1.9,25.64
2021-01-01 02:45:07,55.16,1.9,25.62
2021-01-01 02:45:27,54.84,1.96,25.63
2021-01-01 02:45:48,54.68,1.9,25.62
2021-01-01 02:46:08,54.4,1.96,25.6
2021-01-01 02:46:28,53.19,1.96,25.57
2021-01-01 02:46:49,54.84,1.96,25.59
2021-01-01 02:47:09,53.07,1.9,25.59
2021-01-01 02:47:29,57.02,1.96,25.57
2021-01-01 02:47:49,54.28,1.9,25.58
2021-01-01 02:48:10,54.24,1.9,25.56
2021-01-01 02:48:30,54.84,1.9,25.55
2021-01-01 02:48:50,56.09,1.9,25.53
2021-01-01 02:49:10,54.84,1.96,25.55
2021-01-01 02:49:31,54.36,1.96,25.55
